	Word	Judgement	Example	Prediction
241	plandemic		independent not the virus the extreme and unnecessary measures taken because of the virus plandemic	epidemic disease is transmitted by a plandle
242	vaxed		they are seeing tons of heart issues and lung issues in vaxed people .	having a vax
243	vaxed		joshtpm quote fro nhs spokesperson last week 1 in 6 people in hospital not vaxed you can read it the other way and ask why is there still 5 out of 6 in hospital despite being vaxed .	give a vax to
244	vaxed		ca n't garantee paid time to get vaxed ca n't garantee paid sick days ?	give a vax to
245	vaxed		ahhhh starting july 5th they 're lifting the quarantine rules for fully vaxed canadians !	infested or impure with a vax
246	vaxed		user not sure what you 're asking but i 'm triple vaxed and not had covid .	relieve ( someone ) of their vax
247	vaxed		user i 'm fully vaxed got covid yesterday and sick as a dog	clean or bathe with a vax
248	vaxed		that 's all very well until you get a 5.5k fine for a house gathering happened to friends on the weekend three visitors everyone fully vaxed	give a vax to
249	vaxed		user yes but again the kefional list was n't about the unvax 'd it was about the working conditions left for the vaxed lol	having a vax
250	vaxed		tells us have you always been that ignorant or just since you 've been quadruple vaxed ?	hit or beat ( someone )
251	vaxed		billycrystal i was two vaxed and one booster then got it jan 29 2022 then hospital two days then issolation ten days .	a vaxer
252	vaxed		user user and even uber and lyft are free to bring you to a location . im vaxed im safe .	speak or write in a vax
253	vaxed		i 'm a 62 yo male fully pfizer vaxed since 3/21 have hypertension .	have a vax
254	vaxed		joshbutler yes and we ca n't go to the pub or restaurant without being double vaxed but can fly into australia unvaccinated .	provide with a vax
255	vaxed		user user he believes the earth is flat . that moron is never getting vaxed	pester or exasperate ( someone )
256	vaxed		if they advertise 100 vaxed employees masks mandatory proof of vaccine .	inflamed with a vax
257	vaxed		jackposobiec you must wear a mask and be vaxed to receive aid	stroke with a vax
258	vaxed		even those who are vaxed but refuse to agree to qr codes or mandates have been living like this for months .	have a vax
259	vaxed		user mackayim user 1/2 to be fair as someone who is triple vaxed recently just had covid 19 i went to work for a short shift unknowingly positive .	give a vax to
260	vaxed		user i would prefer it ... do n't need shedding from the vaxed ... those spike proteins can kill ...	treated with a drug vax
261	vaxed		user kinda feel table had turned how the healthcare would have to make extra efforts to convince people to get vaxed .	subject to a vaxation
262	vaxed		user so if most the population are vaxed that 'd mean that most in hospital with covid are vaxed again so by very definition the vax do n't work	provide with a vax
263	vaxed		if one understands the fourth amendment he understands that whether he is vaxed or not vaxed the government has no right to that information .	mislead or deceive ( someone )
264	vaxed		sunriseon7 why do you sunriseon7 still insist on pushing the fear of the unvaxed when it was the vaxed that spread the covid virus during lockdown from september 2021 still the vaxed are spreading covid and the mandatory vacancies are causing a 2 tier society stop mandates immediately .	a person who is vax
265	vaxed		they want us divided so they can take over . black vs white vaxed vs unvaxed left vs right .	revise or smear with an equal quantity of vax
266	vaxed		i 'm so happy that i 'm freshly vaxed for vegas now omfg what a mess	lecture or arrange in a vax
267	lockdown		user this is my first time to post bout this matter i have seen many filipino citizen is now in the crisis situation because of lockdown many ofw and seafearer has suffering no work for now stand by .. and their children did n't get to enroll this years because of financial breakdown ...	a state of isolation or banishment
268	lockdown		a full scale lockdown during the holidays will enrage the already triggered trump supporters who will believe trump when he declares the election to be a rigged election and refuses to leave causing gun toting knuckleheads to march in the streets ...	a military operation in which enemy forces are kept secret and operations can not be officially observed
269	lockdown		yesnicksearcy i 'm more surprised they have traffic in california with all the lockdown fetishizing .	denoting a state of disapproval or restraint
270	lockdown		i 'd find lockdown much easier if i 'd won that 80 million .	a procedure in which an opponent is locked up and can not be released from the showdown
271	lockdown		i hope the coronavirus put these prisons on lockdown so my bd can stop calling pissing me off every fuckin day	a state of isolation or interdiction
272	lockdown		the issue we talk about is the latest lockdown by malaysia themselves just yesterday night which even restrict malaysian who cross causeway to sg for work	a ban on commerce or the use of hostile groups
273	lockdown		these barriers were places here in 2020 during the intense lockdown that jaleeb went through as a publicity stunt by kuwait to have the record for the longest lockdown .	a state of isolation or seclusion from public view
274	lockdown		and with shanghai entering into a lockdown it will have a big impact on the global supply chain	a state of isolation or embargo
275	lockdown		can someone please explain to me how this half-assed lockdown in la county is going to do anything if the rest of the country still doesnt give a fuck !	a state of isolation or banishment
276	lockdown		whatever happened to the guy that said we ca n't lockdown again it 's to hard on people .	seize control of a group or place by locking it down
277	lockdown		here people are not taking lockdown seriously m . painful to see .	a state of isolation or lockup
278	lockdown		dj 's have no excuse to not make any in this lockdown .	a state of isolation or restricted access instituted as an official rule in certain broadcasts
279	lockdown		kyle user told me it was happening but in my own wee lockdown bubble i did n't realise you have now done it .	a state of isolation or withdrawal from involvement with an activity
280	lockdown		jmaurelioinq duterte asks crematoriums to keep pre lockdown prices and not jack up rates .	a restriction on the sale of goods or services in order to secure their release from contract
281	lockdown		user i 'm going to tell the dandrews drips that you are arriving with covid so they 'll lockdown u and you 'll never be able to return to my beautiful city	denoting a system of transport in which people may not leave until certain conditions are met
282	lockdown		i 'll have to admit that eating a beef and tomato pot noodle in only a pair of shorts and sliders while wfh is a bit of a lockdown low point for me ... me not the pot noodle	denoting something regarded as unwelcome and restrictive in manner
283	lockdown		also i have some real-time clips for sale from before lockdown dm me	the act of denoting equipment that can be locked down temporarily
284	lockdown		rishisunak user but not the backing of the millions of self-employed who were shut down by your government 's lockdown fiasco ?	denoting an action in which a government or other organization locks itself down
285	lockdown		moore is damn sure could be a lockdown with brownlee .	a dissension or lockup
286	lockdown		getting close to month 7 of lockdown why is n't anyone awake ?	partial or total withdrawal from active use of a firearm
287	lockdown		user i agree the approach taken has been very conflicting and there should have been a lockdown earlier .	an act of detaining someone or something
288	lockdown		ring the dr in a lockdown so he can ring back to them .	a state of isolation or quarantine
289	lockdown		i know we have to do it to be safe but the 2 metre body swerves and suspicious looks of social distancing are starting to make me very sad . lockdown	the action of seizing someone and holding them back in their arms
290	lockdown		let 's you have your whole family friends there in spite of lockdown	the state of being restricted or immovable
291	lockdown		marshall_steven katecollins9 do n't do it to us .. a stage 3/4 lockdown would break a lot of people .	( in military contexts ) an act of seizing someone and holding them down temporarily
292	gatekeeping		user user gatekeeping would imply she 's trying to prevent downplay others ' sharing of their similar experiences to ambers ' .	the management of information or an organization at a distance by other people having no control over them
293	gatekeeping		user user you are gatekeeping and you 've been told you are gatekeeping .	the role or work of a gatekeeper
294	gatekeeping		i 'm not gatekeeping `` and people like you made it much harder for me to escape dangerous situations because it puts all levels of discomfort conflict or acting like a jerk on the same level and demonizes people we know nothing about .	the position of a gatekeeper
295	gatekeeping		user destinythegame but i see more and more people calling end game content gatekeeping and maybe in the literal sense yeah but not if you ca n't do this you 're not really a fan imagine day 1 players walking into end game dungeons in any other mmorpg good luck getting past the literal gatekeeper	a thing that prevents access to an area or place
296	gatekeeping		they act as if we 're gatekeeping but we 're trying to teach you have to track energy .	the role of a gatekeeper
297	gatekeeping		i dont think this ia gatekeeping it 's talking about a memory of thay specific age if double decker bus	a person who appears to be unaware of other people
298	gatekeeping		we do not allow any type of jerk-like behavior including but not limited to personal attacks hate speech harassment racism sexism or other jerk-like behavior includes gatekeeping posts .	the position or activities of a gatekeeper
299	gatekeeping		lol the majority of posts on here are n't actual gatekeeping and that was my initial point with this one to begin with .	the action of regulating or monitoring something
